Date,Price,Open,High,Low,Change %
2010-12-06,108.69,108.5,108.72,108.25,0.19%
2010-12-07,108.48,108.61,108.73,108.44,-0.12%
2010-12-08,108.61,108.47,108.67,108.3,0.17%
2010-12-09,108.43,108.66,108.73,108.38,-0.22%
2010-12-10,108.67,108.77,108.94,108.47,-0.09%
2010-12-13,108.77,108.86,108.88,108.57,-0.08%
2010-12-14,108.86,108.42,108.91,108.16,0.43%
2010-12-15,108.39,108.36,108.53,108.03,-0.03%
2010-12-16,108.42,107.98,108.62,107.84,0.42%
2010-12-17,107.97,107.47,108.03,107.03,0.47%
2010-12-20,107.47,107.08,107.64,106.94,0.36%
2010-12-21,107.08,107.3,107.45,106.81,-0.21%
2010-12-22,107.3,106.97,107.47,106.56,0.34%
2010-12-23,106.94,106.92,107.14,106.58,0.02%
2010-12-24,106.92,107.19,107.31,106.48,-0.24%
2010-12-27,107.18,107.73,107.9,107.04,-0.53%
2010-12-28,107.75,108.08,108.47,107.62,-0.31%
2010-12-29,108.08,107.92,108.19,107.75,0.13%
2010-12-30,107.94,107.83,108.19,107.66,0.10%
2010-12-31,107.83,107.78,107.97,107.42,0.05%
2011-01-03,107.78,107.06,107.89,107,0.67%
2011-01-04,107.06,107.55,107.8,106.97,-0.46%
2011-01-05,107.56,107.53,107.78,107.31,0.00%
2011-01-06,107.56,108.02,108.09,107.53,-0.43%
2011-01-07,108.02,108.45,108.47,107.78,-0.40%
2011-01-10,108.45,108.12,108.48,108.08,0.29%
2011-01-11,108.14,108.11,108.38,108.03,0.00%
2011-01-12,108.14,107.67,108.17,107.48,0.06%
2011-01-13,108.08,108.09,108.28,107.92,-0.03%
2011-01-14,108.11,107.83,108.19,107.52,0.26%
2011-01-17,107.83,107.55,107.86,107.5,0.26%
2011-01-18,107.55,107.25,107.59,107.19,0.28%
2011-01-19,107.25,106.83,107.28,106.77,0.31%
2011-01-20,106.92,106.95,107.11,106.62,0.00%
2011-01-21,106.92,106.36,107.22,106.31,0.50%
2011-01-24,106.39,105.94,106.44,105.83,0.42%
2011-01-25,105.94,106.23,106.4,105.74,-0.26%
2011-01-26,106.22,106.25,106.41,105.92,-0.08%
2011-01-27,106.31,106.5,106.56,106.11,-0.20%
2011-01-28,106.52,106.12,106.69,105.83,0.38%
2011-01-31,106.12,105.75,106.23,105.66,0.37%
2011-02-01,105.73,106.16,106.17,105.59,-0.39%
2011-02-02,106.14,105.14,106.41,104.45,0.69%
2011-02-03,105.41,106.44,106.75,105.27,-0.97%
2011-02-04,106.44,106.61,106.66,106.25,-0.17%
2011-02-07,106.62,106.22,106.66,106.22,0.37%
2011-02-08,106.23,106.63,106.69,106.17,-0.38%
2011-02-09,106.64,106.34,106.7,106.25,0.24%
2011-02-10,106.38,106.12,106.5,106.03,0.25%
2011-02-11,106.12,105.92,106.78,105.7,0.20%
2011-02-14,105.91,106.75,106.78,105.66,-0.79%
2011-02-15,106.75,105.31,106.98,105.06,1.37%
2011-02-16,105.31,105.58,105.7,105.05,-0.34%
2011-02-17,105.67,106.08,106.12,105.27,-0.39%
2011-02-18,106.08,106.28,106.31,105.89,-0.19%
2011-02-21,106.28,106.48,106.48,105.5,-0.19%
2011-02-22,106.48,105.94,107.08,105.53,0.50%
2011-02-23,105.95,106.59,106.69,105.78,-0.60%
2011-02-24,106.59,107.34,107.58,106.5,-0.70%
2011-02-25,107.34,108.8,109.33,107.27,-1.30%
2011-02-28,108.75,108.61,109,108.5,0.13%
2011-03-01,108.61,108.78,108.95,108.45,-0.16%
2011-03-02,108.78,108.69,108.91,108.42,0.10%
2011-03-03,108.67,108.64,108.83,108.56,0.03%
2011-03-04,108.64,108.19,108.77,108.03,0.42%
2011-03-07,108.19,108.22,108.28,107.94,-0.03%
2011-03-08,108.22,107.84,108.3,107.83,0.32%
2011-03-09,107.88,107.8,108.08,107.7,0.15%
2011-03-10,107.72,107.3,107.97,107.22,0.39%
2011-03-11,107.3,107.94,108.02,107.2,-0.59%
2011-03-14,107.94,108.25,108.33,107.94,-0.28%
2011-03-15,108.24,107.92,108.39,107.83,0.30%
2011-03-16,107.92,107.88,108.11,107.8,0.01%
2011-03-17,107.91,108.48,108.61,107.8,-0.54%
2011-03-18,108.5,108.47,108.53,107.86,0.03%
2011-03-21,108.47,108.84,108.98,108.33,-0.36%
2011-03-22,108.86,108.72,108.97,108.67,0.13%
2011-03-23,108.72,108.44,108.81,108.28,0.23%
2011-03-24,108.47,107.81,108.64,107.78,0.61%
2011-03-25,107.81,107.8,107.86,107.71,-0.02%
2011-03-28,107.83,107.89,107.93,107.53,-0.06%
2011-03-29,107.89,108.44,108.48,107.77,-0.51%
2011-03-30,108.44,108.11,108.55,108.11,0.51%
2011-03-31,107.89,107.8,107.94,107.56,0.08%
2011-04-01,107.8,107.8,108.17,107.64,0.02%
2011-04-04,107.78,107.19,107.86,107.09,0.55%
2011-04-05,107.19,107.31,107.42,106.78,-0.10%
2011-04-06,107.3,107.41,107.55,107.25,-0.01%
2011-04-07,107.31,107.31,107.75,107.06,0.00%
2011-04-08,107.31,108.09,108.14,107.22,-0.74%
2011-04-11,108.11,108.45,108.62,107.91,-0.31%
2011-04-12,108.45,108.55,108.69,108.06,-0.10%
2011-04-13,108.56,108.44,108.72,108.41,0.00%
2011-04-14,108.56,108.38,108.59,108.16,0.16%
2011-04-15,108.39,108.52,108.55,108.17,-0.10%
2011-04-18,108.5,108.52,108.58,108.22,-0.02%
2011-04-19,108.52,108.45,108.81,108.36,0.07%
2011-04-20,108.44,108.56,108.72,108.33,0.23%
2011-04-21,108.19,108.42,108.62,107.89,-0.21%
2011-04-22,108.42,108.47,108.58,108.03,-0.05%
2011-04-25,108.47,108.14,108.5,107.81,0.31%
2011-04-26,108.14,108.08,108.36,107.83,0.06%
2011-04-27,108.08,108.38,108.45,107.89,-0.18%
2011-04-28,108.28,109.62,109.64,108.28,-1.21%
2011-04-29,109.61,109.61,109.94,109.47,0.02%
2011-05-02,109.59,109.38,109.7,109.14,0.19%
2011-05-03,109.38,109.5,109.64,109.22,-0.13%
2011-05-04,109.52,109.31,109.59,109.28,0.19%
2011-05-05,109.31,109.61,109.75,109.28,-0.27%
2011-05-06,109.61,110.36,110.38,109.47,-0.68%
2011-05-09,110.36,110.48,110.64,110.25,-0.13%
2011-05-10,110.5,110.06,110.69,110.03,0.40%
2011-05-11,110.06,110.14,110.33,109.81,-0.02%
2011-05-12,110.08,109.86,110.19,109.5,0.20%
2011-05-13,109.86,109.61,109.97,109.33,0.25%
2011-05-16,109.59,109.61,109.72,109.16,-0.02%
2011-05-17,109.61,109.3,109.78,109.14,0.27%
2011-05-18,109.31,109.75,109.84,109.02,-0.57%
2011-05-19,109.94,109.75,110.05,109.47,0.16%
2011-05-20,109.76,110.1,110.13,109.47,-0.32%
2011-05-23,110.11,110.25,110.31,109.89,-0.13%
2011-05-24,110.25,110.78,110.86,110.17,-0.48%
2011-05-25,110.78,110.62,110.99,110.28,-0.30%
2011-05-26,111.11,111.52,111.69,111.06,-0.37%
2011-05-27,111.52,111.39,111.67,111.36,0.12%
2011-05-30,111.39,111.44,111.62,111.05,-0.03%
2011-05-31,111.42,111.66,111.7,111.23,-0.20%
2011-06-01,111.64,111.61,111.91,111.53,0.04%
2011-06-02,111.59,111.64,112.03,111.42,-0.04%
2011-06-03,111.64,112.19,112.25,111.39,-0.49%
2011-06-06,112.19,111.86,112.41,111.69,0.30%
2011-06-07,111.86,111.94,112.03,111.64,-0.07%
2011-06-08,111.94,111.93,111.99,111.85,0.02%
2011-06-09,111.92,111.97,112.01,111.88,-0.04%
2011-06-10,111.97,112.06,112.08,111.77,-0.08%
2011-06-13,112.06,112.03,112.17,111.92,0.05%
2011-06-14,112,112.05,112.06,111.84,-0.03%
2011-06-15,112.03,112,112.09,111.88,0.00%
2011-06-16,112.03,111.66,112.09,111.58,0.32%
2011-06-17,111.67,111.03,111.7,110.91,0.59%
2011-06-20,111.02,111.14,111.28,110.84,-0.11%
2011-06-21,111.14,111.49,111.59,110.98,-0.30%
2011-06-22,111.48,111.72,111.8,111.28,-0.22%
2011-06-23,111.73,111.64,111.81,111.58,0.05%
2011-06-24,111.67,111.48,111.69,111.33,0.17%
2011-06-27,111.48,111.33,111.58,111.2,0.13%
2011-06-28,111.33,111.34,111.47,111.25,-0.03%
2011-06-29,111.36,110.81,111.45,110.81,0.45%
2011-06-30,110.86,110.62,110.95,110.53,0.20%
2011-07-01,110.64,110.52,110.83,110.03,0.11%
2011-07-04,110.52,110.64,110.7,110.22,-0.11%
2011-07-05,110.64,109.97,110.69,109.94,0.61%
2011-07-06,109.97,109.86,110.25,109.72,0.05%
2011-07-07,109.92,110.81,110.91,109.75,-0.80%
2011-07-08,110.81,110.72,110.97,110.3,0.11%
2011-07-11,110.69,111.41,111.69,110.53,-0.63%
2011-07-12,111.39,111.44,111.48,111.16,-0.03%
2011-07-13,111.42,111.45,111.62,111.28,-0.04%
2011-07-14,111.47,111.7,111.91,111.39,-0.22%
2011-07-15,111.72,111.16,111.84,111.14,0.49%
2011-07-18,111.17,111.36,111.47,111,-0.17%
2011-07-19,111.36,111.2,111.47,111.11,0.14%
2011-07-20,111.2,111.14,111.31,110.88,0.03%
2011-07-21,111.17,111.58,111.66,110.78,-0.38%
2011-07-22,111.59,111.77,111.86,111.48,-0.16%
2011-07-25,111.77,111.89,111.94,111.61,-0.11%
2011-07-26,111.89,111.72,112.12,111.7,0.13%
2011-07-27,111.75,111.77,112.02,111.64,-0.15%
2011-07-28,111.92,111.39,112.08,111.33,0.48%
2011-07-29,111.39,111,111.5,110.66,0.35%
2011-08-01,111,110.58,111.08,110.36,0.38%
2011-08-02,110.58,111.06,111.09,110.42,-0.43%
2011-08-03,111.06,110.67,111.23,110.56,0.33%
2011-08-04,110.69,110.69,110.92,110.56,-0.01%
2011-08-05,110.7,110.86,110.89,110.58,-0.14%
2011-08-08,110.86,110.63,110.95,110.52,0.22%
2011-08-09,110.62,110.61,110.83,110.45,0.00%
2011-08-10,110.62,110.45,110.67,110.39,0.11%
2011-08-11,110.5,110.48,110.66,110.25,0.02%
2011-08-12,110.48,111.01,111.13,110.45,-0.47%
2011-08-15,111,110.5,111.06,110.42,0.47%
2011-08-16,110.48,110.36,110.64,110.33,0.09%
2011-08-17,110.38,109.83,110.47,109.69,0.59%
2011-08-18,109.73,109.81,109.91,109.64,-0.07%
2011-08-19,109.81,109.97,110.09,109.61,-0.15%
2011-08-22,109.97,109.97,110.06,109.55,0.00%
2011-08-23,109.97,109.89,110.03,109.78,0.07%
2011-08-24,109.89,109.5,110.16,109.43,0.36%
2011-08-25,109.5,108.89,109.58,108.72,0.57%
2011-08-26,108.88,109.04,109.08,108.49,-0.14%
2011-08-29,109.03,109.39,109.75,108.81,-0.33%
2011-08-30,109.39,109.36,109.55,109.14,0.03%
2011-08-31,109.36,109.53,109.61,109.16,-0.17%
2011-09-01,109.55,109.64,109.97,109.45,-0.08%
2011-09-02,109.64,109.58,109.81,109.42,0.04%
2011-09-05,109.6,109.37,110,109.32,0.20%
2011-09-06,109.38,109.67,109.7,109.14,-0.26%
2011-09-07,109.67,109.75,109.77,109.47,-0.10%
2011-09-08,109.78,109.27,109.89,109.06,0.49%
2011-09-09,109.24,109.09,109.4,108.68,0.14%
2011-09-12,109.09,108.69,109.2,108.38,0.39%
2011-09-13,108.67,108.16,108.77,108.13,0.46%
2011-09-14,108.17,108.47,108.56,107.97,-0.35%
2011-09-15,108.55,108.43,108.6,108.14,0.12%
2011-09-16,108.42,108.16,108.52,107.77,0.23%
2011-09-19,108.17,108.75,109,107.97,-0.53%
2011-09-20,108.75,108.72,109.09,108.44,0.03%
2011-09-21,108.72,108.55,108.75,108.03,0.18%
2011-09-22,108.53,107.67,108.59,107.51,0.80%
2011-09-23,107.67,108.89,108.92,104.97,-1.11%
2011-09-26,108.88,109.67,109.73,108.71,-0.77%
2011-09-27,109.72,109.57,109.79,109.57,0.13%
2011-09-28,109.58,110.44,110.48,109.55,-0.63%
2011-09-29,110.28,110.97,111.06,110.14,-0.65%
2011-09-30,111,111.38,111.39,110.45,-0.32%
2011-10-03,111.36,110.31,111.42,110.14,0.98%
2011-10-04,110.28,110.44,110.47,110,-0.15%
2011-10-05,110.45,110.95,111.21,110.27,-0.69%
2011-10-06,111.22,111.3,111.47,110.94,-0.05%
2011-10-07,111.28,112.47,112.61,110.81,-1.07%
2011-10-10,112.48,112.52,112.66,112.09,-0.04%
2011-10-11,112.53,112.83,112.88,112.25,-0.27%
2011-10-12,112.83,113.32,113.53,112.68,-0.49%
2011-10-13,113.39,113.64,113.69,113.22,-0.22%
2011-10-14,113.64,113.28,113.72,113.2,0.32%
2011-10-17,113.28,113.39,113.53,113.14,-0.10%
2011-10-18,113.39,113.33,113.47,113,0.04%
2011-10-19,113.34,112.7,113.38,112.25,0.54%
2011-10-20,112.73,112.67,112.94,112.55,0.05%
2011-10-21,112.67,113.19,113.22,112.22,-0.46%
2011-10-24,113.19,112.77,113.25,112.64,0.36%
2011-10-25,112.78,113.66,113.67,112.58,-0.78%
2011-10-26,113.67,113.47,113.86,113.38,0.18%
2011-10-27,113.47,113.5,113.72,113.33,-0.01%
2011-10-28,113.48,113.69,113.69,113.19,-0.18%
2011-10-31,113.69,113.78,114.03,113.44,-0.08%
2011-11-01,113.78,113.58,113.85,113.41,0.17%
2011-11-02,113.59,112.94,113.64,112.86,0.57%
2011-11-03,112.95,112.94,113.02,112.64,0.01%
2011-11-04,112.94,113.05,113.14,112.86,-0.11%
2011-11-07,113.06,112.77,113.14,112.61,0.26%
2011-11-08,112.77,112.56,112.84,112.31,0.19%
2011-11-09,112.56,112.83,112.89,112.42,-0.24%
2011-11-10,112.83,113.64,113.66,112.64,-0.71%
2011-11-11,113.64,113.62,113.72,113.11,0.02%
2011-11-14,113.62,113.81,114.02,113.3,-0.17%
2011-11-15,113.81,113.83,114.15,113.57,-0.02%
2011-11-16,113.83,113.83,114.2,113.66,0.00%
2011-11-17,113.83,114.06,114.09,113.64,-0.20%
2011-11-18,114.06,113.52,114.08,113.47,0.47%
2011-11-21,113.53,113.44,113.83,112.94,0.08%
2011-11-22,113.44,113.2,113.5,113.11,0.22%
2011-11-23,113.19,113.19,113.34,113.06,-0.01%
2011-11-24,113.2,112.72,113.33,112.58,0.43%
2011-11-25,112.72,112.94,113,112.61,-0.19%
2011-11-28,112.94,113.13,113.39,112.8,-0.13%
2011-11-29,113.09,112.38,113.11,112.28,0.63%
2011-11-30,112.38,111.92,112.56,111.78,0.42%
2011-12-01,111.91,112.39,112.45,111.38,-0.45%
2011-12-02,112.42,112.25,112.69,111.83,0.14%
2011-12-05,112.26,112.43,112.75,112.09,-0.16%
2011-12-06,112.44,112.83,112.86,111.94,-0.35%
2011-12-07,112.83,112.5,112.91,112.36,0.25%
2011-12-08,112.55,112.21,112.65,112.12,0.32%
2011-12-09,112.19,112.64,112.73,111.97,-0.41%
2011-12-12,112.65,112.26,112.68,111.99,0.36%
2011-12-13,112.25,111.77,112.33,111.72,0.42%
2011-12-14,111.78,112.11,112.27,111.62,-0.37%
2011-12-15,112.2,112.17,112.5,111.89,0.03%
2011-12-16,112.17,112.27,112.53,111.83,-0.10%
2011-12-19,112.28,112.95,113.28,112.23,-0.59%
2011-12-20,112.95,113.22,113.41,112.88,-0.25%
2011-12-21,113.23,113.69,113.94,112.81,-0.43%
2011-12-22,113.72,113.9,114.11,113.55,-0.18%
2011-12-23,113.92,114.55,114.56,113.64,-0.53%
2011-12-26,114.53,113.64,114.55,113.52,0.76%
2011-12-27,113.67,113.92,114.02,113.51,-0.22%
2011-12-28,113.92,113.69,114.08,113.67,0.20%
2011-12-29,113.69,113.38,113.72,113.31,0.27%
2011-12-30,113.38,112.75,113.47,112.55,0.58%
2012-01-02,112.73,112.97,113.14,112.62,-0.21%
2012-01-03,112.97,112.8,112.97,112.72,0.14%
2012-01-04,112.81,112.58,112.84,112.28,0.20%
2012-01-05,112.58,112.48,112.89,112.42,0.07%
2012-01-06,112.5,112.28,112.59,112.03,0.20%
2012-01-09,112.28,112.36,112.45,112.17,-0.07%
2012-01-10,112.36,111.86,112.39,111.67,0.46%
2012-01-11,111.84,111.95,112.14,111.75,-0.20%
2012-01-12,112.06,111.92,112.17,111.75,0.13%
2012-01-13,111.92,111.25,112,111.14,0.58%
2012-01-16,111.27,111.64,111.66,111.12,-0.33%
2012-01-17,111.64,111.12,111.66,111.06,0.47%
2012-01-18,111.12,110.97,111.25,110.86,0.04%
2012-01-19,111.08,110.77,111.27,110.39,0.30%
2012-01-20,110.75,111.53,111.55,110.53,-0.70%
2012-01-23,111.53,111.45,111.76,111.37,0.07%
2012-01-24,111.45,111.06,111.55,110.91,0.33%
2012-01-25,111.08,111.08,111.19,110.85,0.04%
2012-01-26,111.04,110.99,111.15,110.68,0.05%
2012-01-27,110.98,111.69,111.78,110.95,-0.62%
2012-01-30,111.67,111.2,111.84,111.11,0.43%
2012-01-31,111.19,111.08,111.36,110.95,0.10%
2012-02-01,111.08,111.25,111.36,110.92,-0.13%
2012-02-02,111.23,111.28,111.5,111.11,-0.06%
2012-02-03,111.3,110.55,111.33,110.52,0.67%
2012-02-06,110.56,110.3,110.62,110.03,0.23%
2012-02-07,110.31,110.06,110.56,109.78,0.22%
2012-02-08,110.07,110.52,110.69,110.02,-0.39%
2012-02-09,110.5,110.89,111.06,110.31,-0.35%
2012-02-10,110.89,110.75,111.12,110.47,0.13%
2012-02-13,110.75,111.14,111.44,110.42,-0.37%
2012-02-14,111.16,110.69,111.33,110.59,0.39%
2012-02-15,110.73,110.94,110.95,110.12,-0.19%
2012-02-16,110.94,111.09,111.18,110.5,-0.13%
2012-02-17,111.08,110.98,111.19,110.69,0.09%
2012-02-20,110.98,111.39,111.44,110.83,-0.37%
2012-02-21,111.39,111.41,111.48,111,-0.02%
2012-02-22,111.41,111.19,111.53,111.14,0.13%
2012-02-23,111.27,111.66,111.83,111.08,-0.35%
2012-02-24,111.66,111.7,111.75,111.31,-0.05%
2012-02-27,111.72,111.88,112.16,111.39,-0.14%
2012-02-28,111.88,111.05,111.97,110.78,0.73%
2012-02-29,111.07,111.04,111.17,110.89,0.02%
2012-03-01,111.05,111.22,111.25,110.8,-0.15%
2012-03-02,111.22,110.97,111.25,110.58,0.23%
2012-03-05,110.97,111.2,111.39,110.66,-0.21%
2012-03-06,111.2,111.35,111.52,110.96,-0.13%
2012-03-07,111.34,111.5,111.56,110.75,-0.06%
2012-03-08,111.41,112.46,112.63,111.39,-0.94%
2012-03-09,112.47,112.86,113.17,112.06,-0.35%
2012-03-12,112.86,112.89,113.16,112.72,-0.01%
2012-03-13,112.87,112.29,112.94,112.22,0.51%
2012-03-14,112.3,112.36,112.56,112.19,-0.07%
